model,memory_condition,context_length,turn_number,n,bleed_count,bleed_rate
gemma2:27b,memory_off,2048,4,55,0,0.0
gemma2:27b,memory_off,2048,5,55,0,0.0
gemma2:27b,memory_off,2048,6,55,0,0.0
gemma2:27b,memory_off,2048,7,55,34,0.6182
gemma2:27b,memory_off,8192,4,57,0,0.0
gemma2:27b,memory_off,8192,5,57,0,0.0
gemma2:27b,memory_off,8192,6,57,0,0.0
gemma2:27b,memory_off,8192,7,57,37,0.6491
gemma2:27b,memory_on,2048,4,55,0,0.0
gemma2:27b,memory_on,2048,5,55,0,0.0
gemma2:27b,memory_on,2048,6,55,0,0.0
gemma2:27b,memory_on,2048,7,55,38,0.6909
gemma2:27b,memory_on,8192,4,54,0,0.0
gemma2:27b,memory_on,8192,5,54,0,0.0
gemma2:27b,memory_on,8192,6,54,0,0.0
gemma2:27b,memory_on,8192,7,54,41,0.7593
gemma2:9b-instruct-q4_K_M,memory_off,2048,4,54,0,0.0
gemma2:9b-instruct-q4_K_M,memory_off,2048,5,54,0,0.0
gemma2:9b-instruct-q4_K_M,memory_off,2048,6,54,0,0.0
gemma2:9b-instruct-q4_K_M,memory_off,2048,7,54,38,0.7037
gemma2:9b-instruct-q4_K_M,memory_off,8192,4,54,0,0.0
gemma2:9b-instruct-q4_K_M,memory_off,8192,5,54,0,0.0
gemma2:9b-instruct-q4_K_M,memory_off,8192,6,54,0,0.0
gemma2:9b-instruct-q4_K_M,memory_off,8192,7,54,37,0.6852
gemma2:9b-instruct-q4_K_M,memory_on,2048,4,54,0,0.0
gemma2:9b-instruct-q4_K_M,memory_on,2048,5,54,0,0.0
gemma2:9b-instruct-q4_K_M,memory_on,2048,6,54,0,0.0
gemma2:9b-instruct-q4_K_M,memory_on,2048,7,54,31,0.5741
gemma2:9b-instruct-q4_K_M,memory_on,8192,4,54,0,0.0
gemma2:9b-instruct-q4_K_M,memory_on,8192,5,54,0,0.0
gemma2:9b-instruct-q4_K_M,memory_on,8192,6,54,0,0.0
gemma2:9b-instruct-q4_K_M,memory_on,8192,7,54,30,0.5556
qwen2.5:14b,memory_off,2048,4,55,1,0.0182
qwen2.5:14b,memory_off,2048,5,55,0,0.0
qwen2.5:14b,memory_off,2048,6,55,0,0.0
qwen2.5:14b,memory_off,2048,7,55,1,0.0182
qwen2.5:14b,memory_off,8192,4,57,1,0.0175
qwen2.5:14b,memory_off,8192,5,57,0,0.0
qwen2.5:14b,memory_off,8192,6,57,0,0.0
qwen2.5:14b,memory_off,8192,7,57,1,0.0175
qwen2.5:14b,memory_on,2048,4,55,0,0.0
qwen2.5:14b,memory_on,2048,5,55,0,0.0
qwen2.5:14b,memory_on,2048,6,55,0,0.0
qwen2.5:14b,memory_on,2048,7,55,0,0.0
qwen2.5:14b,memory_on,8192,4,54,0,0.0
qwen2.5:14b,memory_on,8192,5,54,0,0.0
qwen2.5:14b,memory_on,8192,6,54,0,0.0
qwen2.5:14b,memory_on,8192,7,54,0,0.0
qwen2.5:32b-instruct-q4_K_M,memory_off,2048,4,56,0,0.0
qwen2.5:32b-instruct-q4_K_M,memory_off,2048,5,56,0,0.0
qwen2.5:32b-instruct-q4_K_M,memory_off,2048,6,56,0,0.0
qwen2.5:32b-instruct-q4_K_M,memory_off,2048,7,56,19,0.3393
qwen2.5:32b-instruct-q4_K_M,memory_off,8192,4,60,0,0.0
qwen2.5:32b-instruct-q4_K_M,memory_off,8192,5,60,0,0.0
qwen2.5:32b-instruct-q4_K_M,memory_off,8192,6,60,0,0.0
qwen2.5:32b-instruct-q4_K_M,memory_off,8192,7,60,31,0.5167
qwen2.5:32b-instruct-q4_K_M,memory_on,2048,4,56,0,0.0
qwen2.5:32b-instruct-q4_K_M,memory_on,2048,5,56,0,0.0
qwen2.5:32b-instruct-q4_K_M,memory_on,2048,6,56,0,0.0
qwen2.5:32b-instruct-q4_K_M,memory_on,2048,7,56,8,0.1429
qwen2.5:32b-instruct-q4_K_M,memory_on,8192,4,54,0,0.0
qwen2.5:32b-instruct-q4_K_M,memory_on,8192,5,54,0,0.0
qwen2.5:32b-instruct-q4_K_M,memory_on,8192,6,54,0,0.0
qwen2.5:32b-instruct-q4_K_M,memory_on,8192,7,54,9,0.1667
qwen2.5:3b,memory_off,2048,4,55,0,0.0
qwen2.5:3b,memory_off,2048,5,55,0,0.0
qwen2.5:3b,memory_off,2048,6,55,0,0.0
qwen2.5:3b,memory_off,2048,7,55,11,0.2
qwen2.5:3b,memory_off,8192,4,57,0,0.0
qwen2.5:3b,memory_off,8192,5,57,0,0.0
qwen2.5:3b,memory_off,8192,6,57,0,0.0
qwen2.5:3b,memory_off,8192,7,57,13,0.2281
qwen2.5:3b,memory_on,2048,4,55,1,0.0182
qwen2.5:3b,memory_on,2048,5,55,1,0.0182
qwen2.5:3b,memory_on,2048,6,55,1,0.0182
qwen2.5:3b,memory_on,2048,7,55,5,0.0909
qwen2.5:3b,memory_on,8192,4,54,0,0.0
qwen2.5:3b,memory_on,8192,5,54,0,0.0
qwen2.5:3b,memory_on,8192,6,54,0,0.0
qwen2.5:3b,memory_on,8192,7,54,5,0.0926
