run_id,scenario_id,turn_index,mcs_turn
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_structured_recall_01_premium,2,1
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_name_recall_01_luna,2,1
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_numeric_recall_01_98765,2,1
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_name_recall_01_nova,2,1
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_name_recall_01_milo,2,1
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_name_recall_01_atlas,2,1
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_numeric_recall_01_45678,2,1
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_structured_recall_01,2,1
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_numeric_recall_01_12345,2,1
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_structured_recall_01_pro,2,1
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_numeric_recall_01_483729,2,1
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_numeric_recall_01,2,1
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_structured_recall_01_basic,2,1
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_name_recall_01,2,1
v2_experiments_20260228_042224_qwen_14b_t0_qwen2_5_14b_fe15cab1,memory_structured_recall_01_premium,2,1
v2_experiments_20260228_042224_qwen_14b_t0_qwen2_5_14b_fe15cab1,memory_name_recall_01_luna,2,1
v2_experiments_20260228_042224_qwen_14b_t0_qwen2_5_14b_fe15cab1,memory_numeric_recall_01_98765,2,1
v2_experiments_20260228_042224_qwen_14b_t0_qwen2_5_14b_fe15cab1,memory_name_recall_01_nova,2,1
v2_experiments_20260228_042224_qwen_14b_t0_qwen2_5_14b_fe15cab1,memory_name_recall_01_milo,2,1
v2_experiments_20260228_042224_qwen_14b_t0_qwen2_5_14b_fe15cab1,memory_name_recall_01_atlas,2,1
v2_experiments_20260228_042224_qwen_14b_t0_qwen2_5_14b_fe15cab1,memory_numeric_recall_01_45678,2,1
v2_experiments_20260228_042224_qwen_14b_t0_qwen2_5_14b_fe15cab1,memory_structured_recall_01,2,1
v2_experiments_20260228_042224_qwen_14b_t0_qwen2_5_14b_fe15cab1,memory_numeric_recall_01_12345,2,1
v2_experiments_20260228_042224_qwen_14b_t0_qwen2_5_14b_fe15cab1,memory_structured_recall_01_pro,2,1
v2_experiments_20260228_042224_qwen_14b_t0_qwen2_5_14b_fe15cab1,memory_numeric_recall_01_483729,2,1
v2_experiments_20260228_042224_qwen_14b_t0_qwen2_5_14b_fe15cab1,memory_numeric_recall_01,2,1
v2_experiments_20260228_042224_qwen_14b_t0_qwen2_5_14b_fe15cab1,memory_structured_recall_01_basic,2,1
v2_experiments_20260228_042224_qwen_14b_t0_qwen2_5_14b_fe15cab1,memory_name_recall_01,2,1
