run_id,mcs,drop_turn_mean,mcs_auc,mcs_n,cell_id,profile,model,family,host,num_ctx,temperature,num_predict,run_file
v2_behavioral_20260225_175537_phi_mini_phi3_mini_d89ba4f67c,0.8571,2.0,0.9524,14,,phi_mini,phi3:mini,,http://localhost:11434,2048,0.2,256,v2_behavioral_20260225_175537_phi_mini_phi3_mini_d89ba4f67c.jsonl
v2_behavioral_20260225_175739_qwen_3b_qwen2_5_3b_fa29099bf6,1.0,,1.0,14,,qwen_3b,qwen2.5:3b,,http://localhost:11434,2048,0.2,256,v2_behavioral_20260225_175739_qwen_3b_qwen2_5_3b_fa29099bf6.jsonl
v2_behavioral_20260225_180851_gemma_9b_t0_gemma2_9b_instruct_q4_K_M_4fe5322029,0.8571,2.0,0.9524,14,,gemma_9b_t0,gemma2:9b-instruct-q4_K_M,,http://localhost:11434,2048,0.2,256,v2_behavioral_20260225_180851_gemma_9b_t0_gemma2_9b_instruct_q4_K_M_4fe5322029.jsonl
v2_behavioral_20260225_181301_llama_8b_t0_llama3_8b_instruct_q4_0_5a69e476cf,0.8571,2.0,0.9524,14,,llama_8b_t0,llama3:8b-instruct-q4_0,,http://localhost:11434,2048,0.2,256,v2_behavioral_20260225_181301_llama_8b_t0_llama3_8b_instruct_q4_0_5a69e476cf.jsonl
v2_behavioral_20260225_181649_gpt_20b_t0_gpt_oss_safeguard_20b_7ffd43e977,1.0,,1.0,14,,gpt_20b_t0,gpt-oss-safeguard:20b,,http://localhost:11434,2048,0.0,256,v2_behavioral_20260225_181649_gpt_20b_t0_gpt_oss_safeguard_20b_7ffd43e977.jsonl
v2_behavioral_20260225_184024_mixtral_moe_7b_t0_mixtral_8x7b_c578fedb5e,0.8571,2.0,0.9524,14,,mixtral_moe_7b_t0,mixtral:8x7b,,http://localhost:11434,2048,0.0,256,v2_behavioral_20260225_184024_mixtral_moe_7b_t0_mixtral_8x7b_c578fedb5e.jsonl
v2_behavioral_20260225_190127_qwen_14b_t0_qwen2_5_14b_d6a1022167,1.0,,1.0,14,,qwen_14b_t0,qwen2.5:14b,,http://localhost:11434,2048,0.0,256,v2_behavioral_20260225_190127_qwen_14b_t0_qwen2_5_14b_d6a1022167.jsonl
v2_behavioral_20260225_192222_mistral_12b_t0_mistral_nemo_12b_instruct_2407_q4_K_M_d673941544,1.0,,1.0,14,,mistral_12b_t0,mistral-nemo:12b-instruct-2407-q4_K_M,,http://localhost:11434,2048,0.0,256,v2_behavioral_20260225_192222_mistral_12b_t0_mistral_nemo_12b_instruct_2407_q4_K_M_d673941544.jsonl
v2_experiments_20260226_050142_qwen_14b_t0_qwen2_5_14b_6817ea61,1.0,,1.0,14,qwen14b_ctx_1k,qwen_14b_t0,qwen2.5:14b,,http://localhost:11434,1024,0.0,256,v2_experiments_20260226_050142_qwen_14b_t0_qwen2_5_14b_6817ea61.jsonl
v2_experiments_20260226_050721_qwen_14b_t0_qwen2_5_14b_dc4815d1,1.0,,1.0,14,qwen14b_ctx_2k,qwen_14b_t0,qwen2.5:14b,,http://localhost:11434,2048,0.0,256,v2_experiments_20260226_050721_qwen_14b_t0_qwen2_5_14b_dc4815d1.jsonl
